startphrase,ending1,ending2,object,modified_1,modified_2,labels,qid
She was loud like a cat.,She was very loud.,She was very quiet.,a cat,A cat was very loud.,A cat was very quiet.,0,428
She was loud like a sloth.,She was very loud.,She was very quiet.,a sloth,A sloth was very loud.,A sloth was very quiet.,1,428
They were as close as politicians.,The weren't close at all.,They were very close.,politicians,Politicians weren't close at all.,Politicians were very close.,0,430
They were as close as churchgoers.,The weren't close at all.,They were very close.,churchgoers,Churchgoers weren't close at all.,Churchgoers were very close.,1,430
Her style was Harvard,Her style was advanced,Her style was underdeveloped,Harvard,Harvard was advanced,Harvard was underdeveloped,0,436
Her style was Kindergarten,Her style was advanced,Her style was underdeveloped,Kindergarten,Kindergarten was advanced,Kindergarten was underdeveloped,1,436
The image had the beauty of an angel.,The image was beautiful.,The image was hideous.,an angel,An angel was beautiful.,An angel was hideous.,0,443
The image had the beauty of a garbage can.,The image was beautiful.,The image was hideous.,a garbage can,A garbage can was beautiful.,A garbage can was hideous.,1,443
The dinner tasted like bliss.,The dinner tasted good.,The dinner tasted horrible.,bliss,Bliss tasted good.,Bliss tasted horrible.,0,444
The dinner tasted like death.,The dinner tasted good.,The dinner tasted horrible.,death,Death tasted good.,Death tasted horrible.,1,444
Her knowledge was as vast as the universe,She had much knowledge,She had little knowledge,the universe,The universe had much knowledge,The universe had little knowledge,0,450
Her knowledge was as vast as a broom closet,She had much knowledge,She had little knowledge,a broom closet,A broom closet had much knowledge,A broom closet had little knowledge,1,450
Her mind was as clear as a foggy marsh,Her mind was confused,Her mind was sharp,a foggy marsh,A foggy marsh was confused,A foggy marsh was sharp,0,451
Her mind was as clear as a sunny day in May,Her mind was confused,Her mind was sharp,a sunny day in May,A sunny day in may was confused,A sunny day in may was sharp,1,451
The classroom was a firestorm,The classroom was in chaos.,The classroom was orderly.,a firestorm,A firestorm was in chaos.,A firestorm was orderly.,0,452
The classroom was a military training,The classroom was in chaos.,The classroom was orderly.,a military training,A military training was in chaos.,A military training was orderly.,1,452
The air was as fresh as a flower,The air smelled fresh.,The air smelled horrible.,a flower,A flower smelled fresh.,A flower smelled horrible.,0,467
The air was as fresh as a landfill,The air smelled fresh.,The air smelled horrible.,a landfill,A landfill smelled fresh.,A landfill smelled horrible.,1,467
you are as bright as the night,You are dumb,You are smart,the night,The night are dumb,The night are smart,0,471
you are as bright a star,You are dumb,You are smart,a star,A star are dumb,A star are smart,1,471
The dress fits as well as sweatpants,The dress fits well.,The dress fits terribly.,sweatpants,Sweatpants fits well.,Sweatpants fits terribly.,1,474
The air in the town often has the fragrance of An open sewer,The air in the town smelled bad,The air in the town smelled good,An open sewer,An open sewer smelled bad,An open sewer smelled good,0,475
The air in the town often has the fragrance of A field of flowers,The air in the town smelled bad,The air in the town smelled good,A field of flowers,A field of flowers smelled bad,A field of flowers smelled good,1,475
The portrayal of the historic figure in the play was As fake as a three-dollar bill,The portrayal of the historic figure is phony,The portrayal of the historic figure is well done,a three-dollar bill,A three-dollar bill is phony,A three-dollar bill is well done,0,477
The portrayal of the historic figure in the play was As solid as a brick wall,The portrayal of the historic figure is phony,The portrayal of the historic figure is well done,a brick wall,A brick wall is phony,A brick wall is well done,1,477
It has the lifespan of a Jurupa Oak tree clone,It lives for a long time,It doesn't have long to live,a Jurupa Oak tree ,A jurupa oak tree lives for a long time,A jurupa oak tree doesn't have long to live,0,478
It has the lifespan of a drunkard on a busy highway,It lives for a long time,It doesn't have long to live,a drunkard ,A drunkard lives for a long time,A drunkard doesn't have long to live,1,478
The shampoo has the moisturizing power of a lotion made by Poseidon,It moisturizes very well,It doesn't moisturize well,a lotion made by Poseidon,A lotion made by poseidon moisturizes very well,A lotion made by poseidon doesn't moisturize well,0,479
The shampoo has the moisturizing power of a desert horned lizard,It moisturizes very well,It doesn't moisturize well,a desert ,A desert moisturizes very well,A desert doesn't moisturize well,1,479
The goat had the drowsiness of a sloth after downing a bottle of melatonin,The goat was very drowsy,The goat was wide awake and alert,a sloth ,A sloth was very drowsy,A sloth was wide awake and alert,0,480
The goat had the drowsiness of a robber during a home invasion,The goat was very drowsy,The goat was wide awake and alert,a robber ,A robber was very drowsy,A robber was wide awake and alert,1,480
Her hair was her armor,Her hair made her feel confident.,Her hair made her feel insecure.,her armor,Her armor made her feel confident.,Her armor made her feel insecure.,0,481
Her hair was her Achilles heel.,Her hair made her feel confident.,Her hair made her feel insecure.,her Achilles heel,Her achilles heel made her feel confident.,Her achilles heel made her feel insecure.,1,481
The roadtrip was an all out assault.,The roadtrip was extremely stressful,The roadtrip was relaxing.,an all out assault,An all out assault was extremely stressful,An all out assault was relaxing.,0,483
The roadtrip was a massage on wheels.,The roadtrip was extremely stressful,The roadtrip was relaxing.,a massage on wheels,A massage on wheels was extremely stressful,A massage on wheels was relaxing.,1,483
The man had the presence of a tower,The man was noticeable and had lots of presence.,"The man was unnoticed, and lacked presence.",a tower,A tower was noticeable and had lots of presence.,"A tower was unnoticed, and lacked presence.",0,489
The man had the presence of a mouse,The man was noticeable and had lots of presence.,"The man was unnoticed, and lacked presence.",a mouse,A mouse was noticeable and had lots of presence.,"A mouse was unnoticed, and lacked presence.",1,489
Her passion for school was a fire,She had a lot of passion for school,She had very little passion for school,a fire,A fire had a lot of passion for school,A fire had very little passion for school,0,490
Her passion for school was a drip,She had a lot of passion for school,She had very little passion for school,a drip,A drip had a lot of passion for school,A drip had very little passion for school,1,490
The chemical burn was the size of Texas,The burn was big,The burn was tiny,the size of Texas,The size of texas was big,The size of texas was tiny,0,491
The chemical burn was the size of a flea,The burn was big,The burn was tiny,the size of a flea,The size of a flea was big,The size of a flea was tiny,1,491
His test questions had the difficulty of string theory,The questions were hard,The questions were easy,string theory,String theory were hard,String theory were easy,0,492
His test questions had the difficulty of the ABC's,The questions were hard,The questions were easy,the ABC's,The abc's were hard,The abc's were easy,1,492
The movie was as predictable as San Francisco's weather,The movie could be totally predicted.,The movie couldn't be predicted at all.,San Francisco's weather,San francisco's weather could be totally predicted.,San francisco's weather couldn't be predicted at all.,1,493
The girl's friends were as flaky as pie crust,The girl's friends were unreliable.,The girl's friends were totally reliable.,pie crust,Pie crust were unreliable.,Pie crust were totally reliable.,0,495
The girl's friends were as flaky as a bar of iron,The girl's friends were unreliable.,The girl's friends were totally reliable.,a bar of iron,A bar of iron were unreliable.,A bar of iron were totally reliable.,1,495
He had the graciousness of a king at court.,He was very gracious.,He was not very gracious.,a king ,A king was very gracious.,A king was not very gracious.,0,499
He had the graciousness of a jester at court.,He was very gracious.,He was not very gracious.,a jester ,A jester was very gracious.,A jester was not very gracious.,1,499
Their marriage had the passion of a starving artist.,Their marriage is very passionate.,Their marriage is not very passionate.,a starving artist,A starving artist is very passionate.,A starving artist is not very passionate.,0,500
Their marriage had the passion of sleeping tortoise.,Their marriage is very passionate.,Their marriage is not very passionate.,sleeping tortoise,Sleeping tortoise is very passionate.,Sleeping tortoise is not very passionate.,1,500
Our relationship was a leap from an airplane.,The relationship was exciting but frightening.,The relationship was peaceful.,a leap from an airplane,A leap from an airplane was exciting but frightening.,A leap from an airplane was peaceful.,0,501
Our relationship was a nap in the woods.,The relationship was exciting but frightening.,The relationship was peaceful.,a nap ,A nap was exciting but frightening.,A nap was peaceful.,1,501
the house was as beautiful as a painting,the house was pretty,the house was ugly,a painting,A painting was pretty,A painting was ugly,0,507
the house was as beautiful as a sick bear,the house was pretty,the house was ugly,a sick bear,A sick bear was pretty,A sick bear was ugly,1,507
She is as bright as A rusted nail,She is dumb,She is smart,A rusted nail,A rusted nail is dumb,A rusted nail is smart,0,514
She is as bright as 100watt bulb,She is dumb,She is smart,100watt ,100watt is dumb,100watt is smart,1,514
The fish is as elusive as A unicorn,It is hard to find,It is easy to find,A unicorn,A unicorn is hard to find,A unicorn is easy to find,0,516
The fish is as elusive as A blowhorn,It is hard to find,It is easy to find,A blowhorn,A blowhorn is hard to find,A blowhorn is easy to find,1,516
The house was as silent as a locomotive,The house was not silent,The house was silent,a locomotive,A locomotive was not silent,A locomotive was silent,0,517
The house was as silent as a tomb,The house was not silent,The house was silent,a tomb,A tomb was not silent,A tomb was silent,1,517
The pillow is as soft as cotton,The pillow is soft,The pillow is not soft,cotton,Cotton is soft,Cotton is not soft,0,518
The pillow is as soft as a concrete block,The pillow is soft,The pillow is not soft,a concrete block,A concrete block is soft,A concrete block is not soft,1,518
The book was as enjoyable as a day at the fair,The book was enjoyable,The book was not enjoyable,a day at the fair,A day at the fair was enjoyable,A day at the fair was not enjoyable,0,519
The book was as enjoyable as a funeral,The book was enjoyable,The book was not enjoyable,a funeral,A funeral was enjoyable,A funeral was not enjoyable,1,519
Dinner was as flat as a single note played on a recorder,The dinner was delightful and full of complex flavors that all worked well together,The dinner was boring with little flavor,a single note played on a recorder,A single note played on a recorder was delightful and full of complex flavors that all worked well together,A single note played on a recorder was boring with little flavor,1,522
The homework was as difficult as rocket science,The homework was difficult,The homework was simple.,rocket science,Rocket science was difficult,Rocket science was simple.,0,528
The stove had the heat of the Chernobyl power plant right after the meltdown,The stove is very hot,The stove is cold,the Chernobyl power plant ,The chernobyl power plant is very hot,The chernobyl power plant is cold,0,533
The stove had the heat of Walt Disney's cryogenically frozen body,The stove is very hot,The stove is cold,Walt Disney's cryogenically frozen body,Walt disney's cryogenically frozen body is very hot,Walt disney's cryogenically frozen body is cold,1,533
The computer had the processing power of an android Einstein,The computer has a lot of processing power,The computer has a low amount of processing power,an android Einstein,An android einstein has a lot of processing power,An android einstein has a low amount of processing power,0,534
The computer had the processing power of a deformed dodo clone,The computer has a lot of processing power,The computer has a low amount of processing power,a deformed dodo ,A deformed dodo has a lot of processing power,A deformed dodo has a low amount of processing power,1,534
The novel has the morality of a brothel,The novel is immoral,The novel is pious,a brothel,A brothel is immoral,A brothel is pious,0,536
The novel has the morality of a saint,The novel is immoral,The novel is pious,a saint,A saint is immoral,A saint is pious,1,536
The town has the rules of Cinderella's step-mother.,The town is very strict and demanding.,The town is very lenient in its rules.,Cinderella's step-mother,Cinderella's step-mother is very strict and demanding.,Cinderella's step-mother is very lenient in its rules.,0,538
The town has the rules of a 60s hippie.,The town is very strict and demanding.,The town is very lenient in its rules.,a 60s hippie,A 60s hippie is very strict and demanding.,A 60s hippie is very lenient in its rules.,1,538
He had the morality of a saint,He was a very moral person,He was a very immoral person.,a saint,A saint was a very moral person,A saint was a very immoral person.,0,544
He had the morality of a devil,He was a very moral person,He was a very immoral person.,a devil,A devil was a very moral person,A devil was a very immoral person.,1,544
He was as desirable as gold,He was very desirable,He was very undesirable,gold,Gold was very desirable,Gold was very undesirable,0,545
He was as desirable as the flu,He was very desirable,He was very undesirable,the flu,The flu was very desirable,The flu was very undesirable,1,545
His movements were as delicate as a ballerina,His movements were delicate,His movements were not delicate,a ballerina,A ballerina were delicate,A ballerina were not delicate,0,556
His movements were as delicate as a linebacker,His movements were delicate,His movements were not delicate,a linebacker,A linebacker were delicate,A linebacker were not delicate,1,556
The light was as bright as a glittering diamond,The light was bright,The light was not bright,a glittering diamond,A glittering diamond was bright,A glittering diamond was not bright,0,557
The light was as bright as an inkspot,The light was bright,The light was not bright,an inkspot,An inkspot was bright,An inkspot was not bright,1,557
The dinner's calorie count is as high as Mount Everest.,The calorie count was very high.,The calorie count was very low.,Mount Everest,Mount everest was very high.,Mount everest was very low.,0,562
She walked like an elephant,She walked in a clumsy manner.,She walked with grace.,an elephant,An elephant walked in a clumsy manner.,An elephant walked with grace.,0,566
She walked like a ballerina,She walked in a clumsy manner.,She walked with grace.,a ballerina,A ballerina walked in a clumsy manner.,A ballerina walked with grace.,1,566
The bottle is as clear as an ice cube,The bottle is crystal clear,The bottle is not clear at all,an ice cube,An ice cube is crystal clear,An ice cube is not clear at all,0,567
The bottle is as clear as sewer water,The bottle is crystal clear,The bottle is not clear at all,sewer water,Sewer water is crystal clear,Sewer water is not clear at all,1,567
The light given off had the ambiance of a condemned elevator,The light given off was unappealing,The light given off was appealing,a condemned elevator,A condemned elevator was unappealing,A condemned elevator was appealing,0,574
The light given off had the ambiance of a conservatory at twilight,The light given off was unappealing,The light given off was appealing,a conservatory at twilight,A conservatory at twilight was unappealing,A conservatory at twilight was appealing,1,574
His eyes were the color of the night sky,His eyes were blue,His eyes were brown,the color of the night sky,The color of the night sky were blue,The color of the night sky were brown,0,578
His eyes were the color of mud,His eyes were blue,His eyes were brown,the color of mud,The color of mud were blue,The color of mud were brown,1,578
The boy is as clever as a fox,the boy is smart,the boy is dumb,a fox,A fox is smart,A fox is dumb,0,583
The boy is as clever as a twig on a tree,the boy is smart,the boy is dumb,a twig on a tree,A twig on a tree is smart,A twig on a tree is dumb,1,583
The template had the usefulness of a kitchen sink,The template was very useful.,The template was totally useless.,a kitchen sink,A kitchen sink was very useful.,A kitchen sink was totally useless.,0,585
The template had the usefulness of window shopping,The template was very useful.,The template was totally useless.,window shopping,Window shopping was very useful.,Window shopping was totally useless.,1,585
That cat has the killer instinct of a velociraptor.,The cat was extremely deadly.,The cat was not very deadly.,a velociraptor,A velociraptor was extremely deadly.,A velociraptor was not very deadly.,0,588
That cat has the killer instinct of a banana slug.,The cat was extremely deadly.,The cat was not very deadly.,a banana slug,A banana slug was extremely deadly.,A banana slug was not very deadly.,1,588
The stone was as heavy as A feather,The stone is light in weight,The stone is very heavy,A feather,A feather is light in weight,A feather is very heavy,0,591
The stone was as heavy as A ton of lead,The stone is light in weight,The stone is very heavy,A ton of lead,A ton of lead is light in weight,A ton of lead is very heavy,1,591
The actors in the play had all the talent of A drunken sailor,The actors are not talented,The actors are very talented,A drunken sailor,A drunken sailor are not talented,A drunken sailor are very talented,0,592
The actors in the play had all the talent of An Academy Award winner,The actors are not talented,The actors are very talented,An Academy Award winner,An academy award winner are not talented,An academy award winner are very talented,1,592
He is sharp like a tack.,He is smart.,He is dumb.,a tack,A tack is smart.,A tack is dumb.,0,593
He is sharp like a eraser.,He is smart.,He is dumb.,a eraser,A eraser is smart.,A eraser is dumb.,1,593
The tofu is as spicy as a hot poker on your tongue.,The tofu is super spicy.,The tofu is not spicy at all.,a hot poker ,A hot poker is super spicy.,A hot poker is not spicy at all.,0,599
The tofu is as spicy as milk.,The tofu is super spicy.,The tofu is not spicy at all.,milk,Milk is super spicy.,Milk is not spicy at all.,1,599
The boy is as polite as an inmate at a prison,the boy is mean,the boy is nice,an inmate at a prison,An inmate at a prison is mean,An inmate at a prison is nice,0,604
The boy is as polite as a nun,the boy is mean,the boy is nice,a nun,A nun is mean,A nun is nice,1,604
The house is as pretty as a dead porcupine,the house is pretty,the house is ugly,a dead porcupine,A dead porcupine is pretty,A dead porcupine is ugly,0,606
The house is as pretty as a sunset,the house is pretty,the house is ugly,a sunset,A sunset is pretty,A sunset is ugly,1,606
The blog post was as long as a power nap,The blog post was very long.,The blog post was very short.,a power nap,A power nap was very long.,A power nap was very short.,1,609
This drink has the sweetness of a chocolate coverd caramel,It is very sweet,It is fairly bland,a chocolate coverd caramel,A chocolate coverd caramel is very sweet,A chocolate coverd caramel is fairly bland,0,612
This drink has the sweetness of a piece of white bread,It is very sweet,It is fairly bland,a piece of white bread,A piece of white bread is very sweet,A piece of white bread is fairly bland,1,612
The headphones are as loud as a hurricane,The headphones are loud,The headphones are quiet,a hurricane,A hurricane are loud,A hurricane are quiet,0,615
The headphones are as loud as a pin drop,The headphones are loud,The headphones are quiet,a pin drop,A pin drop are loud,A pin drop are quiet,1,615
This boy has the intellect of a bucket of rocks.,The boy is stupid.,The boy is a super genius.,a bucket of rocks,A bucket of rocks is stupid.,A bucket of rocks is a super genius.,0,620
This boy has the intellect of 10 of Einstein's brains glued together.,The boy is stupid.,The boy is a super genius.,10 of Einstein's brains ,10 of einstein's brains is stupid.,10 of einstein's brains is a super genius.,1,620
The cake has the density of a fluffy cloud in Heaven.,The cake is light and fluffy.,The cake is extremely dense.,a fluffy cloud in Heaven,A fluffy cloud in heaven is light and fluffy.,A fluffy cloud in heaven is extremely dense.,0,621
The cake has the density of a dying star.,The cake is light and fluffy.,The cake is extremely dense.,a dying star,A dying star is light and fluffy.,A dying star is extremely dense.,1,621
My boss is as agreeable as a Sunday school teacher,my boss is nice,my boss is mean,a Sunday school teacher,A sunday school teacher is nice,A sunday school teacher is mean,0,625
My boss is as agreeable as rabid wolf,my boss is nice,my boss is mean,rabid wolf,Rabid wolf is nice,Rabid wolf is mean,1,625
I'm as alert as a guard dog,I'm awake,I'm tired,a guard dog,A guard dog'm awake,A guard dog'm tired,0,626
I'm as alert as a sleeping sloth,I'm awake,I'm tired,a sleeping sloth,A sleeping sloth'm awake,A sleeping sloth'm tired,1,626
He has the physical strength of 20 young lions,He is very strong,He has little strength,20 young lions,20 young lions is very strong,20 young lions has little strength,0,628
He has the physical strength of 20 sleeping sloths,He is very strong,He has little strength,20 sleeping sloths,20 sleeping sloths is very strong,20 sleeping sloths has little strength,1,628
The song was as classic as a chocolate chip cookie,The song was a total classic.,The song was really novel.,a chocolate chip cookie,A chocolate chip cookie was a total classic.,A chocolate chip cookie was really novel.,0,631
The song was as classic as freeze-dried ice cream,The song was a total classic.,The song was really novel.,freeze-dried ice cream,Freeze-dried ice cream was a total classic.,Freeze-dried ice cream was really novel.,1,631
Her range of career options was prix-fixe meal,Her range of career options was narrow.,She had a lot of career options.,prix-fixe meal,Prix-fixe meal was narrow.,Prix-fixe meal had a lot of career options.,0,632
Her range of career options was Chinese buffet,Her range of career options was narrow.,She had a lot of career options.,Chinese buffet,Chinese buffet was narrow.,Chinese buffet had a lot of career options.,1,632
The gun was as dangerous as a lion,The gun was dangerous,The gun was harmless,a lion,A lion was dangerous,A lion was harmless,0,633
The gun was as dangerous as a rabbit,The gun was dangerous,The gun was harmless,a rabbit,A rabbit was dangerous,A rabbit was harmless,1,633
The car had the reliability of my grandfather's memory,The car works well,The car does not work well,my grandfather's memory,My grandfather's memory works well,My grandfather's memory does not work well,1,637
The runner had the speed of a fired bullet,The runner is fast,The runner is slow,a fired bullet,A fired bullet is fast,A fired bullet is slow,0,638
The runner had the speed of a box turtle,The runner is fast,The runner is slow,a box turtle,A box turtle is fast,A box turtle is slow,1,638
That girl is as pretty as a pile of dung,That girl is really ugly,That girl is beautiful,a pile of dung,A pile of dung is really ugly,A pile of dung is beautiful,0,641
That girl is as pretty as flowers blooming in the spring,That girl is really ugly,That girl is beautiful,flowers blooming in the spring,Flowers blooming in the spring is really ugly,Flowers blooming in the spring is beautiful,1,641
The woman had the radiance of a sun-lit meadow.,The woman is good looking.,The woman is not good looking.,a sun-lit meadow,A sun-lit meadow is good looking.,A sun-lit meadow is not good looking.,0,642
The woman had the radiance of a dark alley.,The woman is good looking.,The woman is not good looking.,a dark alley,A dark alley is good looking.,A dark alley is not good looking.,1,642
Her dancing companion was as physical as a many-armed gorilla.,The companion was clumsy.,The companion was graceful.,a many-armed gorilla,A many-armed gorilla was clumsy.,A many-armed gorilla was graceful.,0,644
Her dancing companion was as physical as a lithe gelding.,The companion was clumsy.,The companion was graceful.,a lithe gelding,A lithe gelding was clumsy.,A lithe gelding was graceful.,1,644
The drawing was as round as a globe.,The drawing was round.,"The drawing was not round at all, and in fact was square.",a globe,A globe was round.,"A globe was not round at all, and in fact was square.",0,648
The drawing was as round as a block.,The drawing was round.,"The drawing was not round at all, and in fact was square.",a block,A block was round.,"A block was not round at all, and in fact was square.",1,648
The floor was firm as a board,The floor was firm.,The floor was unsteady.,a board,A board was firm.,A board was unsteady.,0,650
The floor was firm as mud,The floor was firm.,The floor was unsteady.,mud,Mud was firm.,Mud was unsteady.,1,650
He has the social skills of a squirrel.,He is not sociable.,He is extremely sociable.,a squirrel,A squirrel is not sociable.,A squirrel is extremely sociable.,0,661
He has the social skills of a talk-show host.,He is not sociable.,He is extremely sociable.,a talk-show host,A talk-show host is not sociable.,A talk-show host is extremely sociable.,1,661
The juice box have the stickiness of a spider web covered in honey,The juice box is sticky,The juice box isn't very sticky,a spider web covered in honey,A spider web covered in honey is sticky,A spider web covered in honey isn't very sticky,0,667
The juice box have the stickiness of 10-year-old fly trap paper,The juice box is sticky,The juice box isn't very sticky,10-year-old fly trap paper,10-year-old fly trap paper is sticky,10-year-old fly trap paper isn't very sticky,1,667
She's about as hot as a supermodel,She is very good-looking.,She is not good looking.,a supermodel,A supermodel is very good-looking.,A supermodel is not good looking.,0,669
She's about as hot as a mangy dog,She is very good-looking.,She is not good looking.,a mangy dog,A mangy dog is very good-looking.,A mangy dog is not good looking.,1,669
My truck is as fast as lightning,My truck is very fast.,My truck is very slow.,lightning,Lightning is very fast.,Lightning is very slow.,0,670
My truck is as fast as a slug,My truck is very fast.,My truck is very slow.,a slug,A slug is very fast.,A slug is very slow.,1,670
He treats her heart like a piñata,He breaks her heart.,He is careful about guarding her heart.,a piñata,A piñata breaks her heart.,A piñata is careful about guarding her heart.,0,676
He treats her heart like glass,He breaks her heart.,He is careful about guarding her heart.,glass,Glass breaks her heart.,Glass is careful about guarding her heart.,1,676
The student's face was a volcanic field.,The student's face was bumpy.,The student's face was smooth.,a volcanic field,A volcanic field was bumpy.,A volcanic field was smooth.,0,679
The student's face was a sheet of ice.,The student's face was bumpy.,The student's face was smooth.,a sheet of ice,A sheet of ice was bumpy.,A sheet of ice was smooth.,1,679
This job is a field of flowers.,The job is easy and nice.,The job is brutal and difficult.,a field of flowers,A field of flowers is easy and nice.,A field of flowers is brutal and difficult.,0,691
This job is a hammer to the knees.,The job is easy and nice.,The job is brutal and difficult.,a hammer to the knees,A hammer to the knees is easy and nice.,A hammer to the knees is brutal and difficult.,1,691
The guest speaker has the knowledge of an amoeba.,The guest speaker is dumb.,The guest speaker is brilliant.,an amoeba,An amoeba is dumb.,An amoeba is brilliant.,0,696
The guest speaker has the knowledge of an Einstein.,The guest speaker is dumb.,The guest speaker is brilliant.,an Einstein,An einstein is dumb.,An einstein is brilliant.,1,696
The doctor has the bedside manner of an ice cube.,The doctor is unpleasant.,The doctor is personable.,an ice cube,An ice cube is unpleasant.,An ice cube is personable.,0,697
The doctor has the bedside manner of an electric blanket.,The doctor is unpleasant.,The doctor is personable.,an electric blanket,An electric blanket is unpleasant.,An electric blanket is personable.,1,697
The tacos were as authentic as Colombian coffee,The tacos were very authentic.,The tacos were Americanized.,Colombian coffee,Colombian coffee were very authentic.,Colombian coffee were americanized.,0,700
The tacos were as authentic as fortune cookies,The tacos were very authentic.,The tacos were Americanized.,fortune cookies,Fortune cookies were very authentic.,Fortune cookies were americanized.,1,700
Reality is a Will-o'-the-wisp.,Reality is ephemeral.,Reality is solid and there.,a Will-o'-the-wisp,A will-o'-the-wisp is ephemeral.,A will-o'-the-wisp is solid and there.,0,704
Reality is the ground beneath our feet.,Reality is ephemeral.,Reality is solid and there.,the ground beneath our feet,The ground beneath our feet is ephemeral.,The ground beneath our feet is solid and there.,1,704
The testimony of the defendant was like A child caught in the cookie jar,The defendant's testimony was phony,The defendant's testimony was truthful,A child caught in the cookie jar,A child caught in the cookie jar was phony,A child caught in the cookie jar was truthful,0,710
The testimony of the defendant was like An iron wall of truth,The defendant's testimony was phony,The defendant's testimony was truthful,An iron wall of truth,An iron wall of truth was phony,An iron wall of truth was truthful,1,710
"When he hid, he became a mouse.",He could hide very well.,He could not hide very well.,a mouse,A mouse could hide very well.,A mouse could not hide very well.,0,715
"When he hid, he became an elephant.",He could hide very well.,He could not hide very well.,an elephant,An elephant could hide very well.,An elephant could not hide very well.,1,715
The room was as empty as a hole,The room was totally empty.,The room was packed.,a hole,A hole was totally empty.,A hole was packed.,0,722
The room was as empty as Six Flags in the summer,The room was totally empty.,The room was packed.,Six Flags in the summer,Six flags in the summer was totally empty.,Six flags in the summer was packed.,1,722
The man slept like a baby,The man slept well.,The man had trouble sleeping.,a baby,A baby slept well.,A baby had trouble sleeping.,0,723
The man slept like a caffeinated insomniac,The man slept well.,The man had trouble sleeping.,a caffeinated insomniac,A caffeinated insomniac slept well.,A caffeinated insomniac had trouble sleeping.,1,723
The fly is fingernails on a chalkboard,The fly is annoying,The fly isn't annoying,fingernails on a chalkboard,Fingernails on a chalkboard is annoying,Fingernails on a chalkboard isn't annoying,0,726
The fly is a warm blanket,The fly is annoying,The fly isn't annoying,a warm blanket,A warm blanket is annoying,A warm blanket isn't annoying,1,726
His hair is black hole,His hair is black,His hair is white,black hole,Black hole is black,Black hole is white,0,728
His hair is milk,His hair is black,His hair is white,milk,Milk is black,Milk is white,1,728
The meal was as sumptuous as a Thanksgiving buffet,The meal was rich.,The meal was plain.,a Thanksgiving buffet,A thanksgiving buffet was rich.,A thanksgiving buffet was plain.,0,737
The meal was as sumptuous as a brown bag lunch,The meal was rich.,The meal was plain.,a brown bag lunch,A brown bag lunch was rich.,A brown bag lunch was plain.,1,737
The book has the depth of an ice cube.,The book is not unique.,The book was fantastic.,an ice cube,An ice cube is not unique.,An ice cube was fantastic.,0,741
The book has the depth of the sky.,The book is not unique.,The book was fantastic.,the sky,The sky is not unique.,The sky was fantastic.,1,741
The parking lot is a mall.,The parking lot is full.,The parking lot is empty.,a mall,A mall is full.,A mall is empty.,0,745
The parking lot is an abandoned stadium.,The parking lot is full.,The parking lot is empty.,an abandoned stadium,An abandoned stadium is full.,An abandoned stadium is empty.,1,745
The movie theater is a mall.,The movie theater is full.,The movie theater is empty.,a mall,A mall is full.,A mall is empty.,0,746
The movie theater is an abandoned hotel.,The movie theater is full.,The movie theater is empty.,an abandoned hotel,An abandoned hotel is full.,An abandoned hotel is empty.,1,746
The steak has the texture of a diamond,The steak is hard,The steak is soft,a diamond,A diamond is hard,A diamond is soft,0,747
The steak has the texture of silk,The steak is hard,The steak is soft,silk,Silk is hard,Silk is soft,1,747
My puppy has the energy of an octogenarian librarian,My puppy doesn't have a lot of energy,My puppy has a lot of energy,an octogenarian librarian,An octogenarian librarian doesn't have a lot of energy,An octogenarian librarian has a lot of energy,0,759
My puppy has the energy of an all night rave,My puppy doesn't have a lot of energy,My puppy has a lot of energy,an all night rave,An all night rave doesn't have a lot of energy,An all night rave has a lot of energy,1,759
Those peppers I ate were as hot as satan's toenails,The peppers were extremely hot,The peppers were not hot at all,satan's toenails,Satan's toenails were extremely hot,Satan's toenails were not hot at all,0,761
Those peppers I ate were as hot as an old sock,The peppers were extremely hot,The peppers were not hot at all,an old sock,An old sock were extremely hot,An old sock were not hot at all,1,761
The student has a brain of a fruit fly,The student is dumb.,The student is smart.,a fruit fly,A fruit fly is dumb.,A fruit fly is smart.,0,765
The student has a brain of a sperm whale.,The student is dumb.,The student is smart.,a sperm whale,A sperm whale is dumb.,A sperm whale is smart.,1,765
The wife has the appearance of an evil witch.,The wife is ugly.,The wife is beautiful.,an evil witch,An evil witch is ugly.,An evil witch is beautiful.,0,766
The wife has the appearance of a majestic queen.,The wife is ugly.,The wife is beautiful.,a majestic queen,A majestic queen is ugly.,A majestic queen is beautiful.,1,766
The mirror is a bed of rocks.,The mirror is bumpy.,The mirror is smooth.,a bed of rocks,A bed of rocks is bumpy.,A bed of rocks is smooth.,0,770
The mirror is an ice rink.,The mirror is bumpy.,The mirror is smooth.,an ice rink,An ice rink is bumpy.,An ice rink is smooth.,1,770
Camping in the woods is as much fun as traffic,Camping is stressful,Camping is relaxing,as much fun as traffic,As much fun as traffic is stressful,As much fun as traffic is relaxing,0,776
Camping in the woods is as much fun as Bubble wrap,Camping is stressful,Camping is relaxing,as much fun as Bubble wrap,As much fun as bubble wrap is stressful,As much fun as bubble wrap is relaxing,1,776
His head is as big as A planet,His head is large,His head is small,A planet,A planet is large,A planet is small,0,777
His head is as big as A push pin,His head is large,His head is small,A push pin,A push pin is large,A push pin is small,1,777
The tree has the height of the Burj Khalifa,The tree is extremely tall,The tree is short,the Burj Khalifa,The burj khalifa is extremely tall,The burj khalifa is short,0,782
