startphrase,ending1,ending2,object,modified_1,modified_2,verb_1,verb_2,labels,qid,result
Her excuse had the conviction of a revivalist preacher.,Her excuse lacked conviction.,Her excuse was full of conviction.,a revivalist preacher,A revivalist preacher lacked conviction.,A revivalist preacher was full of conviction.,lacked,was,1,393,0
The threat was an oncoming train,The threat was imminent.,The threat was distant.,an oncoming train,An oncoming train was imminent.,An oncoming train was distant.,was,was,0,404,1
The book grabbed my attention like legalese in a merger agreement,The book totally bored me.,The book really interested me.,legalese ,Legalese totally bored me.,Legalese really interested me.,bored,interested,0,422,0
The book grabbed my attention like a trashy magazine headline,The book totally bored me.,The book really interested me.,a trashy magazine headline,A trashy magazine headline totally bored me.,A trashy magazine headline really interested me.,bored,interested,1,422,1
Her thoughts were like a yo-yo,Her thoughts were all over the place.,Her thoughts were steady.,a yo-yo,A yo-yo were all over the place.,A yo-yo were steady.,were,were,0,423,1
Her thoughts were like a spring stream,Her thoughts were all over the place.,Her thoughts were steady.,a spring stream,A spring stream were all over the place.,A spring stream were steady.,were,were,1,423,0
Her ego was a Ritz cracker,Her ego was very fragile.,Her ego was unshakeable.,a Ritz cracker,A ritz cracker was very fragile.,A ritz cracker was unshakeable.,was,was,0,424,1
Her ego was a brick building,Her ego was very fragile.,Her ego was unshakeable.,a brick building,A brick building was very fragile.,A brick building was unshakeable.,was,was,1,424,0
That politician's speech was a good as Lincoln's Gettysburg Address,The speech was sycinct and powerful,The speech was overbearing and boring.,a good as Lincoln's Gettysburg Address,A good as lincoln's gettysburg address was sycinct and powerful,A good as lincoln's gettysburg address was overbearing and boring.,was,was,0,439,0
That politician's speech was a good as a college professor dense lecture.,The speech was sycinct and powerful,The speech was overbearing and boring.,a good as a college professor dense lecture,A good as a college professor dense lecture was sycinct and powerful,A good as a college professor dense lecture was overbearing and boring.,was,was,1,439,1
The sandwich has the cheesiness of the moon as depicted in cartoons,The sandwich is very cheesy,The sandwich lacks cheese,the moon ,The moon is very cheesy,The moon lacks cheese,is,lacks,0,458,1
The sandwich has the cheesiness of a pizza without the primary topping,The sandwich is very cheesy,The sandwich lacks cheese,a pizza without the primary topping,A pizza without the primary topping is very cheesy,A pizza without the primary topping lacks cheese,is,cheese,1,458,0
The tower has the wind resistance of metal roofing on a fair weather day,The tower has a high wind resistance,The tower has almost no resistance to wind,metal roofing ,Metal roofing has a high wind resistance,Metal roofing has almost no resistance to wind,has,has,0,459,1
The tower has the wind resistance of candy wrapper caught in an updraft,The tower has a high wind resistance,The tower has almost no resistance to wind,candy wrapper ,Candy wrapper has a high wind resistance,Candy wrapper has almost no resistance to wind,has,has,1,459,0
The body has the survivability of a hungry tiger in a hen house,It has high survivability,It has a low survivability rate,a hungry tiger in a hen house,A hungry tiger in a hen house has high survivability,A hungry tiger in a hen house has a low survivability rate,has,has,0,460,1
The body has the survivability of a paper bag in a stormy ocean,It has high survivability,It has a low survivability rate,a paper bag in a stormy ocean,A paper bag in a stormy ocean has high survivability,A paper bag in a stormy ocean has a low survivability rate,has,has,1,460,0
She rode that horse like An acrobat,She rode it well,She rode it poorly,An acrobat,An acrobat rode it well,An acrobat rode it poorly,rode,rode,0,461,1
She rode that horse like A seizure victim,She rode it well,She rode it poorly,A seizure victim,A seizure victim rode it well,A seizure victim rode it poorly,rode,rode,1,461,0
The speech was as inspiring as A cement block,It is dull,It is motivating,A cement block,A cement block is dull,A cement block is motivating,is,motivating,0,462,1
The speech was as inspiring as A legless marathon runner,It is dull,It is motivating,A legless marathon runner,A legless marathon runner is dull,A legless marathon runner is motivating,is,motivating,1,462,0
The floor was as slippery as oil,The floor was slippery.,The floor wasn't slippery at all.,oil,Oil was slippery.,Oil wasn't slippery at all.,was,was,0,468,1
The floor was as slippery as sandpaper,The floor was slippery.,The floor wasn't slippery at all.,sandpaper,Sandpaper was slippery.,Sandpaper wasn't slippery at all.,was,was,1,468,0
The gem was as fake as a bad toupee,The gem was obviously fake.,The gem was obviously real.,a bad toupee,A bad toupee was obviously fake.,A bad toupee was obviously real.,was,was,0,469,0
The gem was as fake as the air we breathe,The gem was obviously fake.,The gem was obviously real.,the air we breathe,The air we breathe was obviously fake.,The air we breathe was obviously real.,was,was,1,469,0
The boys are as disciplined as barrel monkeys,The boys are highly disciplined.,The boys lack any discipline.,barrel monkeys,Barrel monkeys are highly disciplined.,Barrel monkeys lack any discipline.,are,lack,1,472,0
The helicopter had the reliability of a collapsing tower.,The helicopter was not reliable.,The helicopter was very reliable.,a collapsing tower,A collapsing tower was not reliable.,A collapsing tower was very reliable.,was,was,0,482,1
The helicopter had the reliability of a battleship.,The helicopter was not reliable.,The helicopter was very reliable.,a battleship,A battleship was not reliable.,A battleship was very reliable.,was,was,1,482,1
This book is like silk in my hands.,This book is hard to put down.,This book is forgettable.,silk in my hands,Silk in my hands is hard to put down.,Silk in my hands is forgettable.,is,is,0,498,0
This book is like hard-cover amnesia.,This book is hard to put down.,This book is forgettable.,hard-cover amnesia,Hard-cover amnesia is hard to put down.,Hard-cover amnesia is forgettable.,is,is,1,498,0
The sword was as sharp as a laser,The sword was sharp,The sword was dull,a laser,A laser was sharp,A laser was dull,was,was,0,504,1
The sword was as sharp as a stick,The sword was sharp,The sword was dull,a stick,A stick was sharp,A stick was dull,was,was,1,504,0
The ending was as satisfying as a Thanksgiving dinner with all the trimmings.,The ending was satisfying.,The ending was unsatisfying.,a Thanksgiving dinner with all the trimmings,A thanksgiving dinner with all the trimmings was satisfying.,A thanksgiving dinner with all the trimmings was unsatisfying.,was,was,0,509,1
The ending was as satisfying as a stale saltine cracker.,The ending was satisfying.,The ending was unsatisfying.,a stale saltine cracker,A stale saltine cracker was satisfying.,A stale saltine cracker was unsatisfying.,satisfying,was,1,509,0
That guy is as smart as a rock,The guy is dumb,The guy is intelligent,a rock,A rock is dumb,A rock is intelligent,is,is,0,511,1
That guy is as smart as a computer,The guy is dumb,The guy is intelligent,a computer,A computer is dumb,A computer is intelligent,is,is,1,511,0
The friendship was as meaningful as a contract on a napkin,The friendship wasn't meaningful at all.,The friendship was highly meaningful.,a contract on a napkin,A contract on a napkin wasn't meaningful at all.,A contract on a napkin was highly meaningful.,was,was,0,523,1
The friendship was as meaningful as an international treaty,The friendship wasn't meaningful at all.,The friendship was highly meaningful.,an international treaty,An international treaty wasn't meaningful at all.,An international treaty was highly meaningful.,was,was,1,523,0
He is as strong as a diamond.,He is very strong.,He is weak.,a diamond,A diamond is very strong.,A diamond is weak.,is,is,0,531,1
He is as strong as a piece of graphite.,He is very strong.,He is weak.,a piece of graphite,A piece of graphite is very strong.,A piece of graphite is weak.,is,is,1,531,0
He has the satisfaction of a master chef after making a 5 star meal,He is very satisfied,He has very little satisfaction,a master chef ,A master chef is very satisfied,A master chef has very little satisfaction,is,has,0,532,1
He has the satisfaction of a master chef aftet making a bowl of canned 🍝,He is very satisfied,He has very little satisfaction,a master chef aftet making a bowl of canned 🍝,A master chef aftet making a bowl of canned 🍝 is very satisfied,A master chef aftet making a bowl of canned 🍝 has very little satisfaction,is,has,1,532,0
She had the dedication of a gnat,She is flighty and unfocused,She applies pressure consistently and over time.,a gnat,A gnat is flighty and unfocused,A gnat applies pressure consistently and over time.,is,applies,0,535,1
She had the dedication of a tectonic plate,She is flighty and unfocused,She applies pressure consistently and over time.,a tectonic plate,A tectonic plate is flighty and unfocused,A tectonic plate applies pressure consistently and over time.,is,applies,1,535,0
The desire she felt was a mere trickle,She felt little desire,She felt a strong desire,a mere trickle,A mere trickle felt little desire,A mere trickle felt a strong desire,felt,felt,0,537,1
The desire she felt was a surging wave,She felt little desire,She felt a strong desire,a surging wave,A surging wave felt little desire,A surging wave felt a strong desire,felt,felt,1,537,1
The man has the taste of a picky child.,The man has poor taste in things.,The man has exquisite and fine taste in things.,a picky child,A picky child has poor taste in things.,A picky child has exquisite and fine taste in things.,has,has,0,539,1
The man has the taste of the Queen of England.,The man has poor taste in things.,The man has exquisite and fine taste in things.,the Queen of England,The queen of england has poor taste in things.,The queen of england has exquisite and fine taste in things.,has,has,1,539,0
She has the patience of a saint,She is very patient,She is not patient at all,a saint,A saint is very patient,A saint is not patient at all,is,is,0,547,1
She has the patience of a bull,She is very patient,She is not patient at all,a bull,A bull is very patient,A bull is not patient at all,is,is,1,547,0
He has the morality of a puppy dog.,He is very moral and kind.,He is not very moral or kind.,a puppy dog,A puppy dog is very moral and kind.,A puppy dog is not very moral or kind.,is,is,0,552,1
He has the morality of a vulture.,He is very moral and kind.,He is not very moral or kind.,a vulture,A vulture is very moral and kind.,A vulture is not very moral or kind.,is,is,1,552,0
His desire for her was a runaway horse.,His desire for her was wild.,His desire for her was dormant.,a runaway horse,A runaway horse was wild.,A runaway horse was dormant.,was,was,0,554,1
His desire for her was a snail.,His desire for her was wild.,His desire for her was dormant.,a snail,A snail was wild.,A snail was dormant.,was,was,1,554,0
He could sprint like the wind,He was fast.,He was slow.,the wind,The wind was fast.,The wind was slow.,was,was,0,558,0
He could sprint like a tortoise,He was fast.,He was slow.,a tortoise,A tortoise was fast.,A tortoise was slow.,was,was,1,558,0
The spaghetti was as cold as the gaze of an angry parochial school teacher,The spaghetti was cold,The spaghetti was very hot,the gaze of an angry parochial school teacher,The gaze of an angry parochial school teacher was cold,The gaze of an angry parochial school teacher was very hot,was,was,0,568,1
The spaghetti was as cold as a vacation to Hades,The spaghetti was cold,The spaghetti was very hot,a vacation to Hades,A vacation to hades was cold,A vacation to hades was very hot,was,was,1,568,0
Her mind was like a safe deposit box,Her mind is closed and secretive,Her mind is wide open and easily accessible,a safe deposit box,A safe deposit box is closed and secretive,A safe deposit box is wide open and easily accessible,is,is,0,569,0
Her mind was like a child's toy box,Her mind is closed and secretive,Her mind is wide open and easily accessible,a child's toy box,A child's toy box is closed and secretive,A child's toy box is wide open and easily accessible,is,is,1,569,1
The ghost has the invisibility of a shy middle child with an overachieving older brother and a wild and rambunctious younger sister,The ghost is very hard to see,The ghost is very noticeable,a shy middle child ,A shy middle child is very hard to see,A shy middle child is very noticeable,is,is,0,570,0
"The ghost has the invisibility of a bully in a china shop, smashing the china on his victim",The ghost is very hard to see,The ghost is very noticeable,a bully ,A bully is very hard to see,A bully is very noticeable,is,is,1,570,0
Your wit has the sharpness of a blade,Your wit is clever.,Your wit is dull and not clever.,a blade,A blade is clever.,A blade is dull and not clever.,is,is,0,575,1
Your wit has the sharpness of a stone,Your wit is clever.,Your wit is dull and not clever.,a stone,A stone is clever.,A stone is dull and not clever.,is,is,1,575,0
She had all the grace and elegance of a ballerina,She is very graceful and elegant.,"She is not graceful or elegant, and in fact is cumbersome and unsophisticated.",a ballerina,A ballerina is very graceful and elegant.,"A ballerina is not graceful or elegant, and in fact is cumbersome and unsophisticated.",is,is,0,576,1
She had all the grace and elegance of a dump truck,She is very graceful and elegant.,"She is not graceful or elegant, and in fact is cumbersome and unsophisticated.",a dump truck,A dump truck is very graceful and elegant.,"A dump truck is not graceful or elegant, and in fact is cumbersome and unsophisticated.",is,is,1,576,0
The teacher had the patience of a flea,The teacher was impatient.,The teacher was patient.,a flea,A flea was impatient.,A flea was patient.,was,was,0,579,1
The teacher had the patience of a tortoise,The teacher was impatient.,The teacher was patient.,a tortoise,A tortoise was impatient.,A tortoise was patient.,was,was,1,579,0
The dog had the attitude of a yogi,The dog had a calm attitude.,The dog had an aggressive attitude.,a yogi,A yogi had a calm attitude.,A yogi had an aggressive attitude.,had,had,0,586,0
The dog had the attitude of a military commander,The dog had a calm attitude.,The dog had an aggressive attitude.,a military commander,A military commander had a calm attitude.,A military commander had an aggressive attitude.,had,had,1,586,1
Henry is a golden retriever.,Henry is trustworthy and friendly.,Henry is not friendly or trustworthy.,a golden retriever,A golden retriever is trustworthy and friendly.,A golden retriever is not friendly or trustworthy.,is,is,0,589,1
Henry is a cobra.,Henry is trustworthy and friendly.,Henry is not friendly or trustworthy.,a cobra,A cobra is trustworthy and friendly.,A cobra is not friendly or trustworthy.,is,is,1,589,0
This cat has the grace of a ballerina.,The cat is extremely graceful.,The cat is clumsy and ungraceful.,a ballerina,A ballerina is extremely graceful.,A ballerina is clumsy and ungraceful.,is,is,0,601,1
This cat has the grace of a pig on ice.,The cat is extremely graceful.,The cat is clumsy and ungraceful.,a pig on ice,A pig on ice is extremely graceful.,A pig on ice is clumsy and ungraceful.,is,is,1,601,0
The dog is as smart as a bowl of rocks,the dog is dumb,the dog is smart,a bowl of rocks,A bowl of rocks is dumb,A bowl of rocks is smart,is,is,0,605,1
The dog is as smart as a scientist,the dog is dumb,the dog is smart,a scientist,A scientist is dumb,A scientist is smart,is,is,1,605,1
The tax penalty was as heavy as a bowling ball,The tax penalty was very heavy.,The tax penalty was very light.,a bowling ball,A bowling ball was very heavy.,A bowling ball was very light.,was,was,0,607,1
The tax penalty was as heavy as a hairpin,The tax penalty was very heavy.,The tax penalty was very light.,a hairpin,A hairpin was very heavy.,A hairpin was very light.,was,was,1,607,0
The food is as warm as a volcano,The food is hot,the food is cold,a volcano,A volcano is hot,A volcano is cold,is,is,0,613,1
The food is as warm as ice,The food is hot,the food is cold,ice,Ice is hot,Ice is cold,is,is,1,613,1
The road is as flat as a pancake,The road is flat,The road is rolling,a pancake,A pancake is flat,A pancake is rolling,is,rolling,0,614,1
The road is as flat as a roller coaster,The road is flat,The road is rolling,a roller coaster,A roller coaster is flat,A roller coaster is rolling,is,rolling,1,614,0
He has a heart of gold,He has a great deal of concern for others,He doesn't care too much for others,gold,Gold has a great deal of concern for others,Gold doesn't care too much for others,has,care,0,618,0
He has a heart of coal,He has a great deal of concern for others,He doesn't care too much for others,coal,Coal has a great deal of concern for others,Coal doesn't care too much for others,has,care,1,618,1
The book is as interesting as time travel.,The book is beyond boring.,The book is incredible.,time travel,Time travel is beyond boring.,Time travel is incredible.,is,is,1,640,1
The date had all the magic of an exotic tale,The date was intriguing,The date was boring,an exotic tale,An exotic tale was intriguing,An exotic tale was boring,was,was,0,643,1
The date had all the magic of a classified ad,The date was intriguing,The date was boring,a classified ad,A classified ad was intriguing,A classified ad was boring,was,was,1,643,0
The photography is as beautiful as a sunrise on a crisp autumn day,The photography is beautiful and moving,The photography is ugly and unwanted,a sunrise on a crisp autumn day,A sunrise on a crisp autumn day is beautiful and moving,A sunrise on a crisp autumn day is ugly and unwanted,is,is,0,652,1
The photography is as beautiful as a trash heap,The photography is beautiful and moving,The photography is ugly and unwanted,a trash heap,A trash heap is beautiful and moving,A trash heap is ugly and unwanted,is,is,1,652,0
He eats like a mouse.,He doesn't eat a lot.,He eats a lot.,a mouse,A mouse doesn't eat a lot.,A mouse eats a lot.,eat,eats,0,664,0
He eats like a dog.,He doesn't eat a lot.,He eats a lot.,a dog,A dog doesn't eat a lot.,A dog eats a lot.,eat,eats,1,664,1
The rabbit had the softness of the face of a man with 5 o'clock shadow,The rabbit feels extremely soft,The rabbit feels rough,the face of a man with 5 o'clock shadow,The face of a man with 5 o'clock shadow feels extremely soft,The face of a man with 5 o'clock shadow feels rough,feels,feels,1,668,1
The teacher was as amused as a girl on a date with her crush,the teacher was interested,the teacher didn't want to hear anything,a girl on a date with her crush,A girl on a date with her crush was interested,A girl on a date with her crush didn't want to hear anything,was,want,0,672,1
The teacher was as amused as a judge in the courtroom,the teacher was interested,the teacher didn't want to hear anything,a judge in the courtroom,A judge in the courtroom was interested,A judge in the courtroom didn't want to hear anything,was,want,1,672,0
The whole series had the depth of a puddle.,The series was boring.,The series was profound.,a puddle,A puddle was boring.,A puddle was profound.,was,was,0,678,1
The whole series had the depth of a lake.,The series was boring.,The series was profound.,a lake,A lake was boring.,A lake was profound.,was,was,1,678,0
The air had the cleanliness of pre-industrial China,The air is quite clean,The air is filthy,pre-industrial China,Pre-industrial china is quite clean,Pre-industrial china is filthy,is,is,0,683,0
The air had the cleanliness of a freshly opened vacuum,The air is quite clean,The air is filthy,a freshly opened vacuum,A freshly opened vacuum is quite clean,A freshly opened vacuum is filthy,is,is,1,683,1
She is as busy as a beaver.,She is really busy.,She is lazy.,a beaver,A beaver is really busy.,A beaver is lazy.,is,is,0,687,0
She is as busy as a sloth.,She is really busy.,She is lazy.,a sloth,A sloth is really busy.,A sloth is lazy.,is,is,1,687,1
She sings like a song bird.,She sings well.,She sings badly.,a song bird,A song bird sings well.,A song bird sings badly.,sings,sings,0,688,1
She sings like a howling cat.,She sings well.,She sings badly.,a howling cat,A howling cat sings well.,A howling cat sings badly.,sings,sings,1,688,0
He is as open as a closed door.,He is not open at all.,He is very open.,a closed door,A closed door is not open at all.,A closed door is very open.,is,is,0,689,1
He is as open as a large mall.,He is not open at all.,He is very open.,a large mall,A large mall is not open at all.,A large mall is very open.,is,is,1,689,1
His mood had the permanence of the sun.,His mood never changes.,His mood was always changing.,the sun,The sun never changes.,The sun was always changing.,changes,changing,0,690,1
His mood had the permanence of the tide.,His mood never changes.,His mood was always changing.,the tide,The tide never changes.,The tide was always changing.,changes,changing,1,690,1
She was hiding like Anne Frank,She was hiding well,She was hiding poorly,Anne Frank,Anne frank was hiding well,Anne frank was hiding poorly,hiding,hiding,0,693,1
She was hiding like circus clown,She was hiding well,She was hiding poorly,circus ,Circus was hiding well,Circus was hiding poorly,hiding,hiding,1,693,0
Those facts were like the Bible,Those facts were not true,Those facts were true,the Bible,The bible were not true,The bible were true,were,were,0,694,0
Those facts were like dictionary,Those facts were not true,Those facts were true,dictionary,Dictionary were not true,Dictionary were true,were,were,1,694,1
The facts verified the case like A thief's lies,The facts were unreliable,The facts were solid and supported the case,A thief's lies,A thief's lies were unreliable,A thief's lies were solid and supported the case,were,were,0,708,1
The facts verified the case like A solid Sherlock Holmes case,The facts were unreliable,The facts were solid and supported the case,A solid Sherlock Holmes case,A solid sherlock holmes case were unreliable,A solid sherlock holmes case were solid and supported the case,were,were,1,708,0
Laughter is like music to soul.,Laughter makes me happy.,Laughter annoys me.,music to soul,Music to soul makes me happy.,Music to soul annoys me.,makes,annoys,0,712,1
Facts are immovable boulders.,Facts cannot be changed.,Facts are constantly changing.,immovable boulders,Immovable boulders cannot be changed.,Immovable boulders are constantly changing.,changed,changing,0,714,1
His library was a brain.,His library was really intellectual.,His library was unimpressive.,a brain,A brain was really intellectual.,A brain was unimpressive.,was,was,0,716,0
His library was a puff of smoke.,His library was really intellectual.,His library was unimpressive.,a puff of smoke,A puff of smoke was really intellectual.,A puff of smoke was unimpressive.,was,was,1,716,1
Her face is a crater.,Her face is bumpy.,Her face is smooth.,a crater,A crater is bumpy.,A crater is smooth.,is,is,0,718,0
Her face is an ice rink.,Her face is bumpy.,Her face is smooth.,an ice rink,An ice rink is bumpy.,An ice rink is smooth.,is,is,1,718,1
The driver is a lumberjack.,The driver is not careful.,The driver is careful.,a lumberjack,A lumberjack is not careful.,A lumberjack is careful.,is,is,0,719,0
The driver is a ballerina.,The driver is not careful.,The driver is careful.,a ballerina,A ballerina is not careful.,A ballerina is careful.,is,is,1,719,1
The monkey was a modern edison,The monkey was smart,The monkey was dumb,a modern edison,A modern edison was smart,A modern edison was dumb,was,was,0,731,1
The monkey was a 1st grade dropout,The monkey was smart,The monkey was dumb,a 1st grade dropout,A 1st grade dropout was smart,A 1st grade dropout was dumb,was,was,1,731,0
She has the conscience of the Pope after having a religious experience,She has a good conscience,She has a bad conscience,the Pope ,The pope has a good conscience,The pope has a bad conscience,has,has,0,734,1
She has the conscience of Hitler on a bad day,She has a good conscience,She has a bad conscience,Hitler ,Hitler has a good conscience,Hitler has a bad conscience,has,has,1,734,1
The candy wrapper has the crinkles of an old woman after soaking in a hot tub,The wrapper is very crinkly,The wrapper has no crinkles,an old woman ,An old woman is very crinkly,An old woman has no crinkles,is,has,0,735,1
The candy wrapper has the crinkles of a celebrity's face after a Botox injection,The wrapper is very crinkly,The wrapper has no crinkles,a celebrity's face ,A celebrity's face is very crinkly,A celebrity's face has no crinkles,is,has,1,735,0
The woman is as artistic as a wet mop.,The woman is not artistic.,The woman is a wonderful artist.,a wet mop,A wet mop is not artistic.,A wet mop is a wonderful artist.,is,is,0,740,1
The woman is as artistic as Van Gogh.,The woman is not artistic.,The woman is a wonderful artist.,Van Gogh,Van gogh is not artistic.,Van gogh is a wonderful artist.,is,is,1,740,1
The parking lot is a crater.,The parking lot is bumpy.,The parking lot is smooth.,a crater,A crater is bumpy.,A crater is smooth.,is,is,0,744,0
The parking lot is a sheet of glass.,The parking lot is bumpy.,The parking lot is smooth.,a sheet of glass,A sheet of glass is bumpy.,A sheet of glass is smooth.,is,is,1,744,1
Class was as interesting as a wet paper bag.,Class was boring and dull.,Class was very inspiring and made me think in a different way.,a wet paper bag,A wet paper bag was boring and dull.,A wet paper bag was very inspiring and made me think in a different way.,was,was,0,755,1
his voice was coffee on an early morning.,He had a very soothing voice.,His voice was startlingly unpleasant.,coffee ,Coffee had a very soothing voice.,Coffee was startlingly unpleasant.,had,was,0,757,0
his voice was an alarm on an early morning.,He had a very soothing voice.,His voice was startlingly unpleasant.,an alarm on an early morning,An alarm on an early morning had a very soothing voice.,An alarm on an early morning was startlingly unpleasant.,had,was,1,757,1
The man was as handsome as a J. Crew model,The man had excellent looks.,The man had poor looks.,a J. Crew model,A j. crew model had excellent looks.,A j. crew model had poor looks.,had,had,0,764,1
The man was as handsome as a naked mole rat,The man had excellent looks.,The man had poor looks.,a naked mole ,A naked mole had excellent looks.,A naked mole had poor looks.,had,had,1,764,1
His face is a dirt road.,His face is bumpy.,His face is smooth.,a dirt road,A dirt road is bumpy.,A dirt road is smooth.,is,is,0,768,0
His face is a sheet of glass.,His face is bumpy.,His face is smooth.,a sheet of glass,A sheet of glass is bumpy.,A sheet of glass is smooth.,is,is,1,768,1
The painter is a demolition derby.,The painter is rough.,The painter is careful.,a demolition derby,A demolition derby is rough.,A demolition derby is careful.,is,is,0,769,1
The painter is a surgeon.,The painter is rough.,The painter is careful.,a surgeon,A surgeon is rough.,A surgeon is careful.,is,is,1,769,1
Matt's girlfriend is a vending machine.,Matt's girlfriend is large.,Matt's girlfriend is small.,a vending machine,A vending machine is large.,A vending machine is small.,is,is,0,772,0
Matt's girlfriend is a P.O. Box.,Matt's girlfriend is large.,Matt's girlfriend is small.,a P.O. Box,A p.o. box is large.,A p.o. box is small.,is,is,1,772,1
The child's room was a garbage dump,The child's room was messy,The child's room was clean,a garbage dump,A garbage dump was messy,A garbage dump was clean,was,was,0,785,0
The child's room was a pre-surgical hospital room,The child's room was messy,The child's room was clean,a pre-surgical hospital room,A pre-surgical hospital room was messy,A pre-surgical hospital room was clean,was,was,1,785,1
Her mind was a set of broken chairs,Her mind was confused.,Her mind was clever.,a set of broken chairs,A set of broken chairs was confused.,A set of broken chairs was clever.,confused,was,0,789,1
Her mind was a vintage bookshelf.,Her mind was confused.,Her mind was clever.,a vintage bookshelf,A vintage bookshelf was confused.,A vintage bookshelf was clever.,was,was,1,789,0
That's about as useful as an icecube in a snowstorm.,It's not useful at all.,It's very useful.,an icecube in a snowstorm,An icecube in a snowstorm's not useful at all.,An icecube in a snowstorm's very useful.,icecube,icecube,0,798,0
That's about as useful as a heated cabin in a snowstorm.,It's not useful at all.,It's very useful.,a heated cabin in a snowstorm,A heated cabin in a snowstorm's not useful at all.,A heated cabin in a snowstorm's very useful.,cabin,cabin,1,798,1
The mattress was soft as granite,The mattress is hard,the mattress is soft,granite,Granite is hard,Granite is soft,is,is,0,802,1
The mattress was soft as a cloud,The mattress is hard,the mattress is soft,a cloud,A cloud is hard,A cloud is soft,is,is,1,802,0
The soap smelled like a field of lillies,the soap smelled good,the soap smelled bad,a field of lillies,A field of lillies smelled good,A field of lillies smelled bad,smelled,smelled,0,803,0
The soap smelled like wildebeest dung.,the soap smelled good,the soap smelled bad,wildebeest dung,Wildebeest dung smelled good,Wildebeest dung smelled bad,smelled,smelled,1,803,0
The culture has the depth of a kiddie pool.,The culture is superficial.,The culture is complex.,a kiddie pool,A kiddie pool is superficial.,A kiddie pool is complex.,is,is,0,808,0
The culture has the depth of the mariana trench.,The culture is superficial.,The culture is complex.,the mariana trench,The mariana trench is superficial.,The mariana trench is complex.,is,is,1,808,1
The road is a bed of rocks.,The road is bumpy.,The road is smooth.,a bed of rocks,A bed of rocks is bumpy.,A bed of rocks is smooth.,is,is,0,809,0
The road is an ice rink.,The road is bumpy.,The road is smooth.,an ice rink,An ice rink is bumpy.,An ice rink is smooth.,is,is,1,809,1
The yogurt was like onion ring batter,The yogurt was thick.,The yogurt was thin.,onion ring batter,Onion ring batter was thick.,Onion ring batter was thin.,was,was,0,811,1
The yogurt was like mist,The yogurt was thick.,The yogurt was thin.,mist,Mist was thick.,Mist was thin.,was,was,1,811,1
Their culture has the openness of a meadow,The culture is very open and tolerant,The culture is not open or tolerant,a meadow,A meadow is very open and tolerant,A meadow is not open or tolerant,is,is,0,823,1
Their culture has the openness of a closet,The culture is very open and tolerant,The culture is not open or tolerant,a closet,A closet is very open and tolerant,A closet is not open or tolerant,is,is,1,823,0
The woman has the shallowness of a bucket,She is very shallow,She is not very shallow,a bucket,A bucket is very shallow,A bucket is not very shallow,is,is,0,825,1
The woman has the shallowness of the ocean,She is very shallow,She is not very shallow,the ocean,The ocean is very shallow,The ocean is not very shallow,is,is,1,825,0
This place is as cultured as a museum,This place is highly cultured.,This place is lowbrow and not cultured.,a museum,A museum is highly cultured.,A museum is lowbrow and not cultured.,is,is,0,829,1
This place is as cultured as a truck stop,This place is highly cultured.,This place is lowbrow and not cultured.,a truck ,A truck is highly cultured.,A truck is lowbrow and not cultured.,is,is,1,829,0
He is as strong as a body builder,He is strong.,He is weak.,a body builder,A body builder is strong.,A body builder is weak.,is,is,0,832,1
He is as strong as a grandpa,He is strong.,He is weak.,a grandpa,A grandpa is strong.,A grandpa is weak.,is,is,1,832,0
The face cream has the texture of gravel.,The face cream is too rough.,The face cream is light.,gravel,Gravel is too rough.,Gravel is light.,is,is,0,841,0
The face cream has the texture of chocolate mousse.,The face cream is too rough.,The face cream is light.,chocolate mousse,Chocolate mousse is too rough.,Chocolate mousse is light.,is,is,1,841,1
The dog is as vicious as a goldfish,The dog is docile.,The dog is dangerous .,a goldfish,A goldfish is docile.,A goldfish is dangerous .,is,is,0,850,1
The dog is as vicious as a starving bear,The dog is docile.,The dog is dangerous .,a starving bear,A starving bear is docile.,A starving bear is dangerous .,is,is,1,850,0
The fog is as dense as iron,The fog is thick and hard to see through.,The fog is thin and easy to see through.,iron,Iron is thick and hard to see through.,Iron is thin and easy to see through.,is,is,0,851,0
The fog is as dense as plexiglass,The fog is thick and hard to see through.,The fog is thin and easy to see through.,plexiglass,Plexiglass is thick and hard to see through.,Plexiglass is thin and easy to see through.,is,is,1,851,0
A priest is sexually active like Mount St Helen's,A priest is rarely sexually active,A priest is extremely sexually active,Mount St Helen's,Mount st helen's is rarely sexually active,Mount st helen's is extremely sexually active,is,is,1,852,1
The doctor has the brains of a computer in Star Trek,The doctor is very intelligent,The doctor isn't very smart,a computer in Star Trek,A computer in star trek is very intelligent,A computer in star trek isn't very smart,is,is,0,860,1
The doctor has the brains of an underdeveloped pigeon,The doctor is very intelligent,The doctor isn't very smart,an underdeveloped pigeon,An underdeveloped pigeon is very intelligent,An underdeveloped pigeon isn't very smart,is,is,1,860,0
The jewelry she tried to pawn has the value of A hobo's handkerchief,The jewelry is not worth much,The jewelry is very valuable,A hobo's handkerchief,A hobo's handkerchief is not worth much,A hobo's handkerchief is very valuable,is,is,0,869,0
The jewelry she tried to pawn has the value of A pile of gold bars,The jewelry is not worth much,The jewelry is very valuable,A pile of gold bars,A pile of gold bars is not worth much,A pile of gold bars is very valuable,is,is,1,869,1
