modified_1,modified_2,object1,object2,labels,ending,qid,result
Coffee was startlingly unpleasant.,An alarm on an early morning was startlingly unpleasant.,coffee ,an alarm on an early morning,1,1,757,1
A j. crew model had excellent looks.,A naked mole had excellent looks.,a J. Crew model,a naked mole ,0,0,764,0
A j. crew model had poor looks.,A naked mole had poor looks.,a J. Crew model,a naked mole ,1,1,764,1
A dirt road is bumpy.,A sheet of glass is bumpy.,a dirt road,a sheet of glass,0,0,768,1
A dirt road is smooth.,A sheet of glass is smooth.,a dirt road,a sheet of glass,1,1,768,0
A demolition derby is rough.,A surgeon is rough.,a demolition derby,a surgeon,0,0,769,1
A demolition derby is careful.,A surgeon is careful.,a demolition derby,a surgeon,1,1,769,1
A vending machine is large.,A p.o. box is large.,a vending machine,a P.O. Box,0,0,772,0
A vending machine is small.,A p.o. box is small.,a vending machine,a P.O. Box,1,1,772,1
A garbage dump was messy,A pre-surgical hospital room was messy,a garbage dump,a pre-surgical hospital room,0,0,785,0
A garbage dump was clean,A pre-surgical hospital room was clean,a garbage dump,a pre-surgical hospital room,1,1,785,1
A set of broken chairs was confused.,A vintage bookshelf was confused.,a set of broken chairs,a vintage bookshelf,0,0,789,1
A set of broken chairs was clever.,A vintage bookshelf was clever.,a set of broken chairs,a vintage bookshelf,1,1,789,1
An icecube in a snowstorm's not useful at all.,A heated cabin in a snowstorm's not useful at all.,an icecube in a snowstorm,a heated cabin in a snowstorm,0,0,798,1
An icecube in a snowstorm's very useful.,A heated cabin in a snowstorm's very useful.,an icecube in a snowstorm,a heated cabin in a snowstorm,1,1,798,0
Granite is hard,A cloud is hard,granite,a cloud,0,0,802,0
Granite is soft,A cloud is soft,granite,a cloud,1,1,802,1
A field of lillies smelled good,Wildebeest dung smelled good,a field of lillies,wildebeest dung,0,0,803,0
A field of lillies smelled bad,Wildebeest dung smelled bad,a field of lillies,wildebeest dung,1,1,803,1
A kiddie pool is superficial.,The mariana trench is superficial.,a kiddie pool,the mariana trench,0,0,808,0
A kiddie pool is complex.,The mariana trench is complex.,a kiddie pool,the mariana trench,1,1,808,1
A bed of rocks is bumpy.,An ice rink is bumpy.,a bed of rocks,an ice rink,0,0,809,0
A bed of rocks is smooth.,An ice rink is smooth.,a bed of rocks,an ice rink,1,1,809,1
Onion ring batter was thick.,Mist was thick.,onion ring batter,mist,0,0,811,1
Onion ring batter was thin.,Mist was thin.,onion ring batter,mist,1,1,811,0
A meadow is very open and tolerant,A closet is very open and tolerant,a meadow,a closet,0,0,823,1
A meadow is not open or tolerant,A closet is not open or tolerant,a meadow,a closet,1,1,823,0
A bucket is very shallow,The ocean is very shallow,a bucket,the ocean,0,0,825,0
A bucket is not very shallow,The ocean is not very shallow,a bucket,the ocean,1,1,825,1
A museum is highly cultured.,A truck is highly cultured.,a museum,a truck ,0,0,829,1
A museum is lowbrow and not cultured.,A truck is lowbrow and not cultured.,a museum,a truck ,1,1,829,0
A body builder is strong.,A grandpa is strong.,a body builder,a grandpa,0,0,832,1
A body builder is weak.,A grandpa is weak.,a body builder,a grandpa,1,1,832,1
Gravel is too rough.,Chocolate mousse is too rough.,gravel,chocolate mousse,0,0,841,0
Gravel is light.,Chocolate mousse is light.,gravel,chocolate mousse,1,1,841,1
A goldfish is docile.,A starving bear is docile.,a goldfish,a starving bear,0,0,850,0
A goldfish is dangerous .,A starving bear is dangerous .,a goldfish,a starving bear,1,1,850,0
Iron is thick and hard to see through.,Plexiglass is thick and hard to see through.,iron,plexiglass,0,0,851,0
Iron is thin and easy to see through.,Plexiglass is thin and easy to see through.,iron,plexiglass,1,1,851,1
A computer in star trek is very intelligent,An underdeveloped pigeon is very intelligent,a computer in Star Trek,an underdeveloped pigeon,0,0,860,0
A computer in star trek isn't very smart,An underdeveloped pigeon isn't very smart,a computer in Star Trek,an underdeveloped pigeon,1,1,860,1
A hobo's handkerchief is not worth much,A pile of gold bars is not worth much,A hobo's handkerchief,A pile of gold bars,0,0,869,1
A hobo's handkerchief is very valuable,A pile of gold bars is very valuable,A hobo's handkerchief,A pile of gold bars,1,1,869,0
A buddhist monk's extremely disciplined.,A wild hyena's extremely disciplined.,a Buddhist monk,a wild hyena,0,0,877,0
A buddhist monk's not disciplined at all.,A wild hyena's not disciplined at all.,a Buddhist monk,a wild hyena,1,1,877,1
An inferno is super spicy,An ice cube is super spicy,an inferno,an ice cube,0,0,878,0
An inferno is not spicy,An ice cube is not spicy,an inferno,an ice cube,1,1,878,1
A beaten dog's very angry,A happy butterfly's very angry,a beaten dog,a happy butterfly,0,0,883,0
A beaten dog's not at all angry,A happy butterfly's not at all angry,a beaten dog,a happy butterfly,1,1,883,1
The gulf of mexico is oily,Dawn is oily,the Gulf of Mexico ,Dawn ,0,0,885,0
The gulf of mexico is oil free,Dawn is oil free,the Gulf of Mexico ,Dawn ,1,1,885,1
An occult meeting was heretical and move beyond the boundaries of accepted teachings.,The ancient church fathers was heretical and move beyond the boundaries of accepted teachings.,an occult meeting,the ancient church fathers,0,0,886,0
An occult meeting was within the boundaries of accepted teachings and were in line with the great tradition.,The ancient church fathers was within the boundaries of accepted teachings and were in line with the great tradition.,an occult meeting,the ancient church fathers,1,1,886,0
A sword was very sharp.,A pillow was very sharp.,a sword,a pillow,0,0,890,1
A sword wasn't sharp at all.,A pillow wasn't sharp at all.,a sword,a pillow,1,1,890,0
A buddha is very religious,My dog is very religious,a buddha,my dog,0,0,892,0
A buddha is not religious,My dog is not religious,a buddha,my dog,1,1,892,0
The sands flowed smoothly and steadily.,A break dance monkey flowed smoothly and steadily.,the sands ,a break dance monkey,0,0,897,1
The sands were all over the place.,A break dance monkey were all over the place.,the sands ,a break dance monkey,1,1,897,0
The pope is very spiritual,An athiest who burns down churches is very spiritual,the Pope ,an Athiest who burns down churches,0,0,910,1
The pope is not spiritual at all,An athiest who burns down churches is not spiritual at all,the Pope ,an Athiest who burns down churches,1,1,910,0
The lifetime of a hundred suns was very long,The distance was very long,the lifetime of a hundred suns,the distance ,0,0,911,0
The lifetime of a hundred suns was quite short,The distance was quite short,the lifetime of a hundred suns,the distance ,1,1,911,1
A swarm of wasps is mean.,A pack of puppies is mean.,a swarm of wasps,a pack of puppies,0,0,913,0
A swarm of wasps is lovable.,A pack of puppies is lovable.,a swarm of wasps,a pack of puppies,1,1,913,1
A man who has to urinate had a lot of urgency,A far away deadline had a lot of urgency,a man who has to urinate,a far away deadline,0,0,924,0
A man who has to urinate had no urgency,A far away deadline had no urgency,a man who has to urinate,a far away deadline,1,1,924,1
A goldfish is dumb.,The taj mahal is dumb.,a goldfish,the Taj Mahal,0,0,925,1
A goldfish is a masterpiece.,The taj mahal is a masterpiece.,a goldfish,the Taj Mahal,1,1,925,0
An old angry cat wasn't kind at all,A newborn puppy wasn't kind at all,An old angry cat,A newborn puppy,0,0,933,1
An old angry cat was happy to see us,A newborn puppy was happy to see us,An old angry cat,A newborn puppy,1,1,933,0
A gnat has a short attention span,A dolphin has a short attention span,A gnat,a dolphin,0,0,935,1
A gnat has a long attention span,A dolphin has a long attention span,A gnat,a dolphin,1,1,935,1
The age of a mummy from ancient egypt is old,The age of the mummy starring tom cruise is old,the age of a mummy from ancient Egypt,the age of The Mummy starring Tom Cruise,0,0,936,0
The age of a mummy from ancient egypt is young,The age of the mummy starring tom cruise is young,the age of a mummy from ancient Egypt,the age of The Mummy starring Tom Cruise,1,1,936,1
A flamingo was graceful.,A hippopotamus was graceful.,a flamingo,a hippopotamus,0,0,941,0
A flamingo was clumsy.,A hippopotamus was clumsy.,a flamingo,a hippopotamus,1,1,941,1
The cowardly lion is cowardly.,An entire army is cowardly.,the cowardly lion,an entire army,0,0,944,1
The cowardly lion is very brave.,An entire army is very brave.,the cowardly lion,an entire army,1,1,944,0
Aquaman is good at floating,Aquaman is good at floating,Aquaman ,Aquaman ,0,0,957,1
Aquaman floats poorly,Aquaman floats poorly,Aquaman ,Aquaman ,1,1,957,0
A snakeskin is rough.,A mirror is rough.,a snakeskin,a mirror,0,0,966,0
A snakeskin is smooth.,A mirror is smooth.,a snakeskin,a mirror,1,1,966,0
A party was joyful.,A funeral was joyful.,a party,a funeral,0,0,979,1
A party was miserable.,A funeral was miserable.,a party,a funeral,1,1,979,0
A red panda was very cute.,A blobfish was very cute.,a red panda,a blobfish,0,0,983,1
A red panda was not very cute.,A blobfish was not very cute.,a red panda,a blobfish,1,1,983,0
Hercules is very strong,A wet angel hair pasta noodle is very strong,Hercules,a wet angel hair pasta noodle,0,0,985,1
Hercules is very weak,A wet angel hair pasta noodle is very weak,Hercules,a wet angel hair pasta noodle,1,1,985,0
My enemy is not favorable,My game is not favorable,my enemy,my game,0,0,996,1
My enemy is favorable,My game is favorable,my enemy,my game,1,1,996,0
The north star's very smart.,A dead lightbulb's very smart.,the north star,a dead lightbulb,0,0,1002,0
The north star's not very smart.,A dead lightbulb's not very smart.,the north star,a dead lightbulb,1,1,1002,1
A racecar is fast,A sloth is fast,a racecar,a sloth,0,0,1005,1
A racecar is slow,A sloth is slow,a racecar,a sloth,1,1,1005,0
A racecar honking is noisy,A stack of papers is noisy,a racecar honking ,a stack of papers ,0,0,1008,0
A racecar honking is quiet,A stack of papers is quiet,a racecar honking ,a stack of papers ,1,1,1008,0
A boa constrictor is not relatable.,An old friend is not relatable.,a boa constrictor,an old friend,0,0,1014,1
A boa constrictor is relatable.,An old friend is relatable.,a boa constrictor,an old friend,1,1,1014,0
The grand canyon is enormous.,A mousetrap is enormous.,the Grand Canyon,a mousetrap,0,0,1021,1
The grand canyon is tiny.,A mousetrap is tiny.,the Grand Canyon,a mousetrap,1,1,1021,0
A dick and jane book is simplistic.,A shakespearean play is simplistic.,a Dick and Jane book,a Shakespearean play,0,0,1025,0
A dick and jane book has a deep plot.,A shakespearean play has a deep plot.,a Dick and Jane book,a Shakespearean play,1,1,1025,1
A fat man has high absorbance,A one-ply piece of toilet paper has high absorbance,a fat man ,a one-ply piece of toilet paper,0,0,1034,0
A fat man can absorb little,A one-ply piece of toilet paper can absorb little,a fat man ,a one-ply piece of toilet paper,1,1,1034,0
Google was extremely smart.,Un untrained puppy was extremely smart.,Google,un untrained puppy,0,0,1038,0
Google was ignorant.,Un untrained puppy was ignorant.,Google,un untrained puppy,1,1,1038,1
A mother's kiss smells good,Satan's kiss smells good,a mother's kiss,satan's kiss,0,0,1043,1
A mother's kiss smells bad,Satan's kiss smells bad,a mother's kiss,satan's kiss,1,1,1043,0
A marathon was long,Paper clip was long,a marathon,paper clip,0,0,1044,1
A marathon was short,Paper clip was short,a marathon,paper clip,1,1,1044,0
A ton of bricks hit the ground hard,A feather hit the ground hard,a ton of bricks,a feather,0,0,1049,0
A ton of bricks hit the ground softly,A feather hit the ground softly,a ton of bricks,a feather,1,1,1049,1
A one dimensional cartoon character is boring,An all encompassing black hole of outer space is boring,a one dimensional cartoon character,an all encompassing black hole of outer space,0,0,1050,1
A one dimensional cartoon character is profound,An all encompassing black hole of outer space is profound,a one dimensional cartoon character,an all encompassing black hole of outer space,1,1,1050,1
An empty bathtub was dull.,The mariana trench was dull.,an empty bathtub,the Mariana Trench,0,0,1053,0
An empty bathtub was profound.,The mariana trench was profound.,an empty bathtub,the Mariana Trench,1,1,1053,1
An empty sink was superficial.,The bottom of the ocean was superficial.,an empty sink,the bottom of the ocean,0,0,1054,0
An empty sink was profound.,The bottom of the ocean was profound.,an empty sink,the bottom of the ocean,1,1,1054,1
The sears tower is tall,An anthill is tall,the Sears Tower,an anthill,0,0,1066,0
The sears tower is short,An anthill is short,the Sears Tower,an anthill,1,1,1066,1
A snake is curvy.,A ruler is curvy.,a snake,a ruler,0,0,1085,1
A snake is straight.,A ruler is straight.,a snake,a ruler,1,1,1085,0
An egg's very hot.,An icecube's very hot.,an egg ,an icecube,0,0,1087,1
An egg's not hot at all.,An icecube's not hot at all.,an egg ,an icecube,1,1,1087,0
A sleeping pill is boring,A caffine pill is boring,A sleeping pill,A caffine pill,0,0,1092,1
A sleeping pill is exciting,A caffine pill is exciting,A sleeping pill,A caffine pill,1,1,1092,0
A puddle's not a deep thinker,The sea's not a deep thinker,a puddle,the sea,0,0,1098,0
A puddle's a very deep thinker,The sea's a very deep thinker,a puddle,the sea,1,1,1098,1
Google is knowledgeable.,America online is knowledgeable.,Google,America Online,0,0,1103,1
Google is out-of-date.,America online is out-of-date.,Google,America Online,1,1,1103,1
A hot air balloon is bloated.,A slick lynx is bloated.,a hot air balloon,a slick lynx,0,0,1104,0
A hot air balloon is sexy.,A slick lynx is sexy.,a hot air balloon,a slick lynx,1,1,1104,1
24 karat gold was very luxurious.,A sleeping bag was very luxurious.,24 karat gold,a sleeping bag,0,0,1107,0
24 karat gold was not luxurious at all.,A sleeping bag was not luxurious at all.,24 karat gold,a sleeping bag,1,1,1107,1
Cellophane was sheer.,A solid piece of wood was sheer.,cellophane,a solid piece of wood,0,0,1114,1
Cellophane was solid.,A solid piece of wood was solid.,cellophane,a solid piece of wood,1,1,1114,0
Michael jackson is a great dancer,A six-legged spider on crutches is a great dancer,Michael Jackson ,a six-legged spider on crutches,0,0,1120,0
Michael jackson can hardly dance at all,A six-legged spider on crutches can hardly dance at all,Michael Jackson ,a six-legged spider on crutches,1,1,1120,1
A universe is vast.,A bobbing wave is vast.,a universe,a bobbing wave,0,0,1124,1
A universe is fluctuating.,A bobbing wave is fluctuating.,a universe,a bobbing wave,1,1,1124,0
A wild beast was angry,A zen master was angry,a wild beast,a zen master,0,0,1133,1
"A wild beast was calm, and not angry","A zen master was calm, and not angry",a wild beast,a zen master,1,1,1133,0
A rhino was very tough.,A guinea pig was very tough.,a rhino,a guinea pig,0,0,1136,0
A rhino was not very tough.,A guinea pig was not very tough.,a rhino,a guinea pig,1,1,1136,1
A surgeon was very reliable.,A ten-year old surgeon was very reliable.,a surgeon ,a ten-year old surgeon,0,0,1137,1
A surgeon couldn't be relied on at all.,A ten-year old surgeon couldn't be relied on at all.,a surgeon ,a ten-year old surgeon,1,1,1137,0
A lumberer was clumsy,A sculptor was clumsy,a lumberer,a sculptor,0,0,1150,1
A lumberer was careful.,A sculptor was careful.,a lumberer,a sculptor,1,1,1150,0
An acrobat was very coordinated,A drunken sailor was very coordinated,an acrobat,a drunken sailor,0,0,1153,1
An acrobat was very uncoordinated,A drunken sailor was very uncoordinated,an acrobat,a drunken sailor,1,1,1153,0
A tsunami is strong.,A gentle wave is strong.,a tsunami,a gentle wave,0,0,1154,1
A tsunami is weak.,A gentle wave is weak.,a tsunami,a gentle wave,1,1,1154,1
An axe is smart.,An sponge is smart.,an axe,an sponge,0,0,1155,0
An axe is dumb.,An sponge is dumb.,an axe,an sponge,1,1,1155,0
A bunny was mild and tame,Being force was mild and tame,a bunny ,being force ,0,0,1163,1
A bunny was scary and sickening,Being force was scary and sickening,a bunny ,being force ,1,1,1163,0
Cardiothoracic surgeons are as focused as can be.,Young puppies are as focused as can be.,cardiothoracic surgeons,young puppies,0,0,1170,0
Cardiothoracic surgeons have a total lack of focus.,Young puppies have a total lack of focus.,cardiothoracic surgeons,young puppies,1,1,1170,1
A whale is large.,A mouse is large.,a whale,a mouse,0,0,1173,1
A whale is small.,A mouse is small.,a whale,a mouse,1,1,1173,0
Lemonade was totally refreshing.,An empty glass was totally refreshing.,lemonade,an empty glass,0,0,1188,1
Lemonade wasn't refreshing at all.,An empty glass wasn't refreshing at all.,lemonade,an empty glass,1,1,1188,0
A whale is large,A amoeba is large,a whale,a amoeba,0,0,1192,0
A whale is small,A amoeba is small,a whale,a amoeba,1,1,1192,1
Twigs are thin and brittle,Tree trunks are thin and brittle,twigs,tree trunks,0,0,1194,0
Twigs are thick and heavy,Tree trunks are thick and heavy,twigs,tree trunks,1,1,1194,1
A closed door was not inviting.,An open door was not inviting.,a closed door,an open door,0,0,1196,0
A closed door was inviting.,An open door was inviting.,a closed door,an open door,1,1,1196,1
A coup d'état was when they betrayed the leader.,A royal coronation was when they betrayed the leader.,a coup d'état,a royal coronation,0,0,1197,1
A coup d'état was when they selected the leader.,A royal coronation was when they selected the leader.,a coup d'état,a royal coronation,1,1,1197,1
A puppy dog is sweet and docile,A t-rex is sweet and docile,a puppy dog,a T-rex,0,0,1212,1
A puppy dog is aggressive,A t-rex is aggressive,a puppy dog,a T-rex,1,1,1212,0
A guillotine was sharp,A dull pencil was sharp,a guillotine,a dull pencil,0,0,1221,0
A guillotine was not sharp,A dull pencil was not sharp,a guillotine,a dull pencil,1,1,1221,1
"A steel trap remembers everything, no matter how insignificant.","Swiss cheese remembers everything, no matter how insignificant.",a steel trap,swiss cheese,0,0,1224,0
"A steel trap remembers nothing, and has lost half of what she once knew.","Swiss cheese remembers nothing, and has lost half of what she once knew.",a steel trap,swiss cheese,1,1,1224,1
A football game rally was really upbeat.,A funeral hymn was really upbeat.,a football game rally,a funeral hymn,0,0,1225,0
A football game rally was heavyhanded.,A funeral hymn was heavyhanded.,a football game rally,a funeral hymn,1,1,1225,0
A newly polished blade is sharp.,A pair of rusty kitchen scissors is sharp.,a newly polished blade,a pair of rusty kitchen scissors,0,0,1227,1
A newly polished blade is dull.,A pair of rusty kitchen scissors is dull.,a newly polished blade,a pair of rusty kitchen scissors,1,1,1227,0
A sword was sharp,A stone was sharp,a sword,a stone,0,0,1235,1
A sword was dull,A stone was dull,a sword,a stone,1,1,1235,0
A stick of rust is rusty and old.,A knife is rusty and old.,a stick of rust,a knife,0,0,1240,1
A stick of rust is sharp.,A knife is sharp.,a stick of rust,a knife,1,1,1240,1
Stone is hard,Gold is hard,stone,gold,0,0,1245,1
Stone is generous,Gold is generous,stone,gold,1,1,1245,0
A newborn baby eel is awkward.,A gazelle is awkward.,a newborn baby eel,a gazelle,0,0,1251,0
A newborn baby eel is elegant.,A gazelle is elegant.,a newborn baby eel,a gazelle,1,1,1251,1
A giraffe's really tall.,A gnome's really tall.,a giraffe,a gnome,0,0,1252,0
A giraffe's really short.,A gnome's really short.,a giraffe,a gnome,1,1,1252,1
A mother loved me.,A wicked stepmother loved me.,a mother,a wicked stepmother,0,0,1272,1
A mother didn't love me at all.,A wicked stepmother didn't love me at all.,a mother,a wicked stepmother,1,1,1272,1
A mouse was quiet.,A megaphone was quiet.,a mouse,a megaphone,0,0,1273,0
A mouse was loud.,A megaphone was loud.,a mouse,a megaphone,1,1,1273,1
A freshly baked christmas ham smells good,A sweaty pair of running shoes smells good,a freshly baked Christmas ham,a sweaty pair of running shoes,0,0,1275,0
A freshly baked christmas ham smells foul,A sweaty pair of running shoes smells foul,a freshly baked Christmas ham,a sweaty pair of running shoes,1,1,1275,1
A mountain is very strong.,A house of cards is very strong.,a mountain,a house of cards,0,0,1278,0
A mountain is very flimsy.,A house of cards is very flimsy.,a mountain,a house of cards,1,1,1278,1
A demolition derby was sloppy.,A gazelle was sloppy.,a demolition derby,a gazelle,0,0,1288,0
A demolition derby was careful.,A gazelle was careful.,a demolition derby,a gazelle,1,1,1288,1
The stars shined brightly.,The dirt shined brightly.,the stars,the dirt,0,0,1290,1
The stars was dull and didn't shine at all.,The dirt was dull and didn't shine at all.,the stars,the dirt,1,1,1290,1
The sun was hot,A popsicle was hot,the sun,a popsicle,0,0,1291,1
"The sun was not hot, but cold.","A popsicle was not hot, but cold.",the sun,a popsicle,1,1,1291,0
A feather duster is soft,An asteroid is soft,a feather duster,an asteroid,0,0,1293,1
A feather duster isn't soft,An asteroid isn't soft,a feather duster,an asteroid,1,1,1293,0
A wonderful walk is enjoyable,An arduous trek is enjoyable,a wonderful walk,an arduous trek,0,0,1298,1
A wonderful walk is hard,An arduous trek is hard,a wonderful walk,an arduous trek,1,1,1298,1
A dumpster fire is trash.,A butterfly is trash.,a dumpster fire,a butterfly,0,0,1303,0
A dumpster fire is wonderful.,A butterfly is wonderful.,a dumpster fire,a butterfly,1,1,1303,1
"The cherry on top of the sundae is the best, finishing touch","The worm inside the pretty apple is the best, finishing touch",the cherry on top of the sundae,the worm inside the pretty apple,0,0,1315,0
The cherry on top of the sundae is an unpleasant surprise that ruins it,The worm inside the pretty apple is an unpleasant surprise that ruins it,the cherry on top of the sundae,the worm inside the pretty apple,1,1,1315,1
An icy road is dangerous and hard to navigate,A warm blanket is dangerous and hard to navigate,an icy road,a warm blanket,0,0,1316,1
An icy road is comfortable and comforting,A warm blanket is comfortable and comforting,an icy road,a warm blanket,1,1,1316,1
A rainbow is something surprisingly good after something devastating,A sinking ship is something surprisingly good after something devastating,a rainbow ,a sinking ship,0,0,1317,1
A rainbow is the feeling of failing,A sinking ship is the feeling of failing,a rainbow ,a sinking ship,1,1,1317,0
A theme park was interesting,Wet paint was interesting,a theme park,wet paint,0,0,1318,0
A theme park was boring,Wet paint was boring,a theme park,wet paint,1,1,1318,1
A decadent chocolate is excellent,Vomit is excellent,a decadent chocolate,vomit,0,0,1319,0
A decadent chocolate is horrible,Vomit is horrible,a decadent chocolate,vomit,1,1,1319,1
A marathon winner was exhausted.,The energizer bunny was exhausted.,a marathon winner,the Energizer Bunny,0,0,1325,0
A marathon winner wasn't tired at all.,The energizer bunny wasn't tired at all.,a marathon winner,the Energizer Bunny,1,1,1325,1
The grand canyon was alive and well.,Notebook paper was alive and well.,the Grand Canyon,notebook paper,0,0,1327,1
The grand canyon was nonexistent.,Notebook paper was nonexistent.,the Grand Canyon,notebook paper,1,1,1327,0
Pudding is very moist,Leather is very moist,pudding,leather,0,0,1336,0
Pudding is very dry,Leather is very dry,pudding,leather,1,1,1336,1
A child's first learning to play the piano was simplistic and randomly thrown together.,A chopin concerto was simplistic and randomly thrown together.,a child's first learning to play the piano,a Chopin concerto,0,0,1341,1
"A child's first learning to play the piano was complex, beautiful, and had the feel of a classic work of art.","A chopin concerto was complex, beautiful, and had the feel of a classic work of art.",a child's first learning to play the piano,a Chopin concerto,1,1,1341,1
A knife is too hard.,A hot tub is too hard.,a knife,a hot tub,0,0,1343,1
A knife is warm and cozy.,A hot tub is warm and cozy.,a knife,a hot tub,1,1,1343,1
A razor's very smart and quick.,A butter knife's very smart and quick.,a razor,a butter knife,0,0,1350,0
A razor's not smart.,A butter knife's not smart.,a razor,a butter knife,1,1,1350,0
A fairy dances well,A turtle dances well,a fairy,a turtle,0,0,1353,1
A fairy dances poorly,A turtle dances poorly,a fairy,a turtle,1,1,1353,0
The temperature of fire is burning hot,The temperature of ice is burning hot,the temperature of fire,the temperature of ice,0,0,1357,1
The temperature of fire is very cold,The temperature of ice is very cold,the temperature of fire,the temperature of ice,1,1,1357,0
Freddy krueger was scary,Snow white was scary,Freddy Krueger,Snow White,0,0,1364,0
Freddy krueger was not scary,Snow white was not scary,Freddy Krueger,Snow White,1,1,1364,1
The himalayas has a wide vocal range,A mound of sand has a wide vocal range,the Himalayas,a mound of sand,0,0,1369,0
"The himalayas has a narrow, poor range","A mound of sand has a narrow, poor range",the Himalayas,a mound of sand,1,1,1369,1
A billboard headline is totally clear.,A rothko painting is totally clear.,a billboard headline,a Rothko painting,0,0,1383,1
A billboard headline is very abstract.,A rothko painting is very abstract.,a billboard headline,a Rothko painting,1,1,1383,0
A pristine forest is serene.,A rock concert is serene.,a pristine forest,a rock concert,0,0,1385,1
A pristine forest is chaotic.,A rock concert is chaotic.,a pristine forest,a rock concert,1,1,1385,1
Cotton candy has no critical thinking skills.,A finely tuned machine has no critical thinking skills.,cotton candy,a finely tuned machine,0,0,1399,0
Cotton candy has great critical thinking skills.,A finely tuned machine has great critical thinking skills.,cotton candy,a finely tuned machine,1,1,1399,1
A mud puddle is simplistic,The mariana trench is simplistic,A mud puddle,The Mariana Trench,0,0,1401,0
A mud puddle is profound,The mariana trench is profound,A mud puddle,The Mariana Trench,1,1,1401,1
A king's crown is very showy.,A paper bag is very showy.,a king's crown,a paper bag,0,0,1405,1
A king's crown is very plain.,A paper bag is very plain.,a king's crown,a paper bag,1,1,1405,0
A giraffe's very tall,A mouse's very tall,a giraffe,a mouse,0,0,1412,1
A giraffe's very small,A mouse's very small,a giraffe,a mouse,1,1,1412,0
A giant marshmellow is soft.,A brick is soft.,a giant marshmellow,a brick,0,0,1414,0
A giant marshmellow is hard.,A brick is hard.,a giant marshmellow,a brick,1,1,1414,1
A murder scene is terrible,A an enchanted forest is terrible,a murder scene,a an enchanted forest,0,0,1421,0
A murder scene is full of wonder.,A an enchanted forest is full of wonder.,a murder scene,a an enchanted forest,1,1,1421,1
Slamming my fingers in the car door was a horrible experience,Ascending to paradise was a horrible experience,slamming my fingers in the car door,ascending to paradise,0,0,1423,1
Slamming my fingers in the car door was a wonderful experience,Ascending to paradise was a wonderful experience,slamming my fingers in the car door,ascending to paradise,1,1,1423,0
Ice is standoffish,The sun is standoffish,ice,the sun,0,0,1428,0
Ice is friendly,The sun is friendly,ice,the sun,1,1,1428,1
A shark is cold.,A lover is cold.,a shark,a lover,0,0,1430,1
A shark is warm and soothing.,A lover is warm and soothing.,a shark,a lover,1,1,1430,1
A cavern is deep,A a puddle is deep,a cavern,a a puddle,0,0,1433,1
A cavern is shallow,A a puddle is shallow,a cavern,a a puddle,1,1,1433,1
A whip was extremely smart.,A newborn baby was extremely smart.,a whip,a newborn baby,0,0,1448,0
A whip wasnt smart at all.,A newborn baby wasnt smart at all.,a whip,a newborn baby,1,1,1448,0
A lightning bolt is full of power.,A dog lapping water is full of power.,a lightning bolt ,a dog lapping water,0,0,1463,1
A lightning bolt is ordinary and dull.,A dog lapping water is ordinary and dull.,a lightning bolt ,a dog lapping water,1,1,1463,0
Spandex is very tight.,A pair of extra-large sweatpants is very tight.,Spandex,a pair of extra-large sweatpants,0,0,1470,0
Spandex isn't tight at all.,A pair of extra-large sweatpants isn't tight at all.,Spandex,a pair of extra-large sweatpants,1,1,1470,0
A nuclear physicist felt very smart while taking the test.,A two-month old felt very smart while taking the test.,a nuclear physicist,a two-month old,0,0,1474,0
A nuclear physicist felt very stupid while taking the test.,A two-month old felt very stupid while taking the test.,a nuclear physicist,a two-month old,1,1,1474,1
City smog is difficult and unpleasant to process,Homemade pie is difficult and unpleasant to process,city smog,homemade pie,0,0,1476,0
City smog is simple and pleasant to process,Homemade pie is simple and pleasant to process,city smog,homemade pie,1,1,1476,1
A banshee is loud.,A songbird is loud.,a banshee,a songbird,0,0,1479,0
A banshee is soft.,A songbird is soft.,a banshee,a songbird,1,1,1479,1
A nasa astronomer is wildly intelligent.,An illiterate person is wildly intelligent.,a NASA astronomer,an illiterate person,0,0,1480,0
A nasa astronomer is totally dumb.,An illiterate person is totally dumb.,a NASA astronomer,an illiterate person,1,1,1480,1
A million bucks made joe feel good,An ant made joe feel good,a million bucks,an ant,0,0,1484,0
A million bucks made joe feel bad,An ant made joe feel bad,a million bucks,an ant,1,1,1484,1
The sea can wait a long time,An infant can wait a long time,the sea,an infant,0,0,1490,0
The sea cannot wait,An infant cannot wait,the sea,an infant,1,1,1490,0
A teddy bear is lovable and friendly.,A velociraptor is lovable and friendly.,a teddy bear,a velociraptor,0,0,1496,1
A teddy bear is vicious and scary.,A velociraptor is vicious and scary.,a teddy bear,a velociraptor,1,1,1496,0
A star is shining.,A mud pie is shining.,a star,a mud pie,0,0,1499,1
A star is dull.,A mud pie is dull.,a star,a mud pie,1,1,1499,0
A bat can't see anything.,A sniper can't see anything.,a bat,a sniper,0,0,1505,0
"A bat has clear, sharp vision.","A sniper has clear, sharp vision.",a bat,a sniper,1,1,1505,1
A baby is short-tempered.,A god is short-tempered.,a baby,a god,0,0,1506,0
A baby is has a large amount of patience.,A god is has a large amount of patience.,a baby,a god,1,1,1506,1
A black hole is very dim.,A flashing neon sign is very dim.,a black hole,a flashing neon sign,0,0,1507,1
A black hole is shining brightly.,A flashing neon sign is shining brightly.,a black hole,a flashing neon sign,1,1,1507,0
